place,location,description
Government Museum Kota,kota," Housed in the premises of Brijvilas Palace near Kishore Sagar in Kota, Government Museum is a perfect depiction of the culture and history of Rajasthan. The museum is replete with artefacts, archaeological findings, documents, coins and other valuable exhibits. One of the most prominent exhibit is the statue brought from Baroli. Photography is prohibited. "
Rao Madho Singh Museum,kota," Housed in the premises of Old Palace of Kota, Rao Madho Singh Museum boasts of an incredible collection of rich artefacts and documents depicting the history and culture of Rajasthan. Silver figurines, terracotta figures, coins, sculptures and manuscripts attracts the students, historians and tourists alike. The museum sprawls over two storeys in several galleries. "
Mathuradheesh Mandir,kota," Mathuradheesh Mandir is a Vallabh sect temple in Rampura, Kota, believed to have been constructed by the Rajput Kings. The temple is enshrined by Mathuradheesh - an incarnation of Lord Krishna. It is also believed that Lord Vishnu took his eighth incarnation as Lord Krishna. The temple follows the rituals and customs of the Vaishnava culture. "
Darrah Wildlife Sanctuary,kota," Darrah Wildlife Sanctuary is situated around 56 kms away from Kota near Bundi. The sanctuary boasts of a rich wildlife and is home to asiatic elephant, sambar deer, elks etc among several other exotic animal and plant species. The sanctuary is mostly popular for wildlife safaris, treks and sightseeing. Initially it was used as a hunting ground by the Royal families. "
Kansua Temple,kota, Kansua Temple is one of the most ancient temples near Bundi in Kota which is enshrined by Lord Shiva. The temple houses a shivalinga which has four heads; it is believed that the shrine was constructed by the Pandavas when they visited Kota during their exile. The temple is built just right by River Chambal and is also known as Karneshwar Temple. 
Shivpuri Dham,kota," Shivpuri Dham is one the ancient most and unique temple in Kota. It has as many as 525 shivalingas at one place. The place is thronged by pilgrims and devotees all through the year; however, the busiest time of the year is Shivratri or Rasleela. Between the shivalingas, there is a huge statue of God Pashupati Nath. "
Raniji Ki Baoli,kota," Raniji Ki Baoli is an ancient baoli (stepwell) near Kota in Bundi. It was built by the Rajputs and boasts of a striking architecture. The baoli has a narrow gateway lined with four sturdy pillars and slender arched on the high roof. A flight of stairs descend into a part well, part temple and part palace with scarce water reserves. Raniji Ki Baoli is an important heritage monument of the city. "
Sukhna Lake,chandigarh," Sukhna Lake is a man-made lake and one of the most famous attractions in Chandigarh. With its pristine blue water, it is frequented by morning joggers and walkers. Boating, rowing, trampoline jumping and solar cruise are popular activities here. Sukhna Lake also houses Siberian ducks and cranes. "
Rock Garden,chandigarh, The Rock Garden is a massive open-air exhibition hall that displays sculptures made from urban and industrial wastes that have been designed and executed by Nek Chand. It also consists of man-made interlinked waterfalls. The popular Teej festival is also celebrated here each year. 
Elante Mall,chandigarh," Elante Mall is the second-largest mall of Chandigarh situated in Industrial Area Phase 1. It comprises of various Indian and international brands, a food court and various cafes. "
Rose Garden,chandigarh," Located in sector 16 of Chandigarh, Rose Garden is a blooming exhibit that showcases around 825 varieties of flowers and 32,500 varieties of trees and medicinal shrubs. Also known as Zakir Hussain Rose Garden, it is quite popular among tourists and nature enthusiasts.  "
Chattbir Zoo,chandigarh," Chattbir Zoo, also known as Mahendra Choudhary Zoological Park is a zoological park in Zikarpur near Chandigarh. The park is home to a vast variety of animals, birds and reptiles. Sprawling over an expansive 202 acres of land, the zoo offers an open enclosure to the animals to retain their natural habitat environment. The highlight of the zoo is Royal Bengal Tiger. "
Sector 17 Market,chandigarh," Sector 17 Market is the most popular of the city. Replete with several big brand stores, international outlets, food chains and eateries, the market is popular both among the youngsters and the adults. From kids wear to fashion apparels to bridal stores and the like, the market has got something for everyone and is bustling with visitors all through the day. "
Japanese Garden,chandigarh," Located in Sector 31A in Chandigarh, Japanese Garden is a well-groomed, beautifully maintained park which houses a park, water bodies, pagoda towers, waterfalls, meditation centres, buddha idol and several other structures. The park has two phases interconnected by an underground tunnel which is adorned with beautiful Japanese paintings. "
Gedi Route,chandigarh," Gedi Route is one of the prime attractions in the city of Chandigarh. Abuzz with activity, street cafes, and college going students, the route extends from Sectors 8,9,10 to 11. 'Gedi' means rounds and true to its name, the route is used for late night drives and bike rides. The name has lately been changed to Azaadi Route. "
Government Museum and Art Gallery,chandigarh," The Government Museum and Art Gallery is a natural history museum and an art gallery in Chandigarh. The building is typically is square of 165x165 feet. The following sections are present at the institute, other than the gallery itself - The National History Museum, the National Gallery of Portraits and the Chandigarh Architecture Museum, each with further sections of their own.  "
International Dolls Museum,chandigarh," International Dolls Museum contains a wide collection of fascinating dolls and marionettes brought from countries like Germany, Denmark, Netherlands, Spain, Korea, and Russia that stand beside the huge Indian collection. "
Capitol Complex,chandigarh," Housing the Legislative Assembly, the Secretariat, the High Court and the Capitol designed by Le Corbusier is another architectural marvel composed of twofold cover, which appears like an overturned umbrella. "
Fun City Waterpark,chandigarh," Fun City is the biggest water amusement park in North India. It boasts of one activity pool, three landing pools and a wave pool, a cluster of water slides of various shapes and sizes, which makes for a delightful ride for the water lovers. "
Pinjore Gardens,chandigarh," Pinjore Gardens is a beautiful Mughal Garden made in 17th Century India located in the city of Pinjore, in the district of Panchkula, Haryana. Also known as Yadvinder Garden, this terraced garden is famous for its well-maintained greenery, refreshing fountains and mesmerising water bodies. "
Garden of Silence,chandigarh," Situated in Bhagwanpura, Chandigarh, Garden of Silence is a meditative space which houses a massive idol of Buddha. It offers a peaceful and tranquil atmosphere for meditation amidst lush green surroundings with a beautiful view of the Shivalik Ranges in the backdrop. "
Musical Fountain Show Sector 17,chandigarh, Musical Fountain Show is held at Sector 17 in Chandigarh and is a popular place of recreation and sightseeing. The show is held in the evening hours and is a wonderful display of water fountains dancing to a rhythmic livid music. The place is thronged by locals and tourists alike to visit the show. 
